Year,Australian_City,Foreign_City,Direction,Metric,Value
2024,Sydney,Wuhan,Outbound,Passengers,1343
2024,Sydney,Xiamen,Outbound,Passengers,6408
2024,Sydney,Xi'an,Outbound,Passengers,391
2024,Sydney,Zhengzhou,Outbound,Passengers,986
2024,Toowoomba Wellcamp,Hong Kong,Outbound,Passengers,0
2024,Australia,Abu Dhabi,Outbound,Passengers,18651
2024,Australia,Apia,Outbound,Passengers,2998
2024,Australia,Auckland,Outbound,Passengers,139501
2024,Australia,Bandar Seri Begawan,Outbound,Passengers,2233
2024,Australia,Bangalore,Outbound,Passengers,4833
2024,Australia,Bangkok,Outbound,Passengers,37285
2024,Australia,Beijing,Outbound,Passengers,9431
2024,Australia,Bombay,Outbound,Passengers,3254
2024,Australia,Chengdu,Outbound,Passengers,7054
2024,Australia,Chicago,Outbound,Passengers,0
2024,Australia,Chongqing,Outbound,Passengers,528
2024,Australia,Christchurch,Outbound,Passengers,33686
2024,Australia,Colombo,Outbound,Passengers,9552
2024,Australia,Dallas,Outbound,Passengers,8868
2024,Australia,Denpasar,Outbound,Passengers,161561
2024,Australia,Dili,Outbound,Passengers,1155
2024,Australia,Doha,Outbound,Passengers,68597
2024,Australia,Dubai,Outbound,Passengers,105310
2024,Australia,Espiritu Santo,Outbound,Passengers,114
2024,Australia,Gaborone,Outbound,Passengers,0
2024,Australia,Guangzhou,Outbound,Passengers,32691
2024,Australia,Haikou,Outbound,Passengers,6817
2024,Australia,Hangzhou,Outbound,Passengers,984
2024,Australia,Hanoi,Outbound,Passengers,5146
2024,Australia,Ho Chi Minh City,Outbound,Passengers,37954
2024,Australia,Hong Kong,Outbound,Passengers,63583
2024,Australia,Honiara,Outbound,Passengers,1640
2024,Australia,Honolulu,Outbound,Passengers,13817
2024,Australia,Istanbul,Outbound,Passengers,2900
2024,Australia,Jakarta,Outbound,Passengers,15146
2024,Australia,Jinan,Outbound,Passengers,738
2024,Australia,Johannesburg,Outbound,Passengers,7528
2024,Australia,Kuala Lumpur,Outbound,Passengers,62186
2024,Australia,London,Outbound,Passengers,17923
2024,Australia,Los Angeles,Outbound,Passengers,43334
2024,Australia,Louisville,Outbound,Passengers,0
2024,Australia,Manila,Outbound,Passengers,28639
2024,Australia,Mauritius,Outbound,Passengers,2205
2024,Australia,Munda,Outbound,Passengers,70
2024,Australia,Nadi,Outbound,Passengers,48529
2024,Australia,Nanjing,Outbound,Passengers,1772
2024,Australia,Nauru,Outbound,Passengers,587
2024,Australia,New Delhi,Outbound,Passengers,14277
2024,Australia,New York,Outbound,Passengers,1395
2024,Australia,Noumea,Outbound,Passengers,2875
2024,Australia,Osaka,Outbound,Passengers,11674
2024,Australia,Palau,Outbound,Passengers,31
2024,Australia,Paris,Outbound,Passengers,0
2024,Australia,Phuket,Outbound,Passengers,8098
2024,Australia,Port Moresby,Outbound,Passengers,8303
2024,Australia,Port Vila,Outbound,Passengers,3914
2024,Australia,Qingdao,Outbound,Passengers,1827
2024,Australia,Queenstown,Outbound,Passengers,20009
2024,Australia,Rarotonga,Outbound,Passengers,2936
2024,Australia,San Francisco,Outbound,Passengers,16817
2024,Australia,Santiago,Outbound,Passengers,9566
2024,Australia,Seoul,Outbound,Passengers,35207
2024,Australia,Shanghai,Outbound,Passengers,28376
2024,Australia,Shenzhen,Outbound,Passengers,2759
2024,Australia,Singapore,Outbound,Passengers,243214
2024,Australia,Taipei,Outbound,Passengers,14918
2024,Australia,Taiyuan,Outbound,Passengers,17
2024,Australia,Tianjin,Outbound,Passengers,168
2024,Australia,Tokyo,Outbound,Passengers,61822
2024,Australia,Tongatapu,Outbound,Passengers,558
2024,Australia,Toronto,Outbound,Passengers,1207
2024,Australia,Vancouver,Outbound,Passengers,16503
2024,Australia,Wellington,Outbound,Passengers,23920
2024,Australia,Wuhan,Outbound,Passengers,1343
2024,Australia,Xiamen,Outbound,Passengers,12024
2024,Australia,Xi'an,Outbound,Passengers,391
2024,Australia,Zhengzhou,Outbound,Passengers,986
2025,Adelaide,Auckland,Inbound,Passengers,2641
2025,Adelaide,Denpasar,Inbound,Passengers,10285
2025,Adelaide,Doha,Inbound,Passengers,5572
